[2020-08-03 20:01:57,708] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Subscribing-akka.actor.default-dispatcher-4] - Slf4jLogger started MDC: {}
[2020-08-03 20:01:57,942] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-4] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Subscribing-dfcd953e-572f-4979-b442-9e450f6d6624] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=20:01:57.941UTC}
[2020-08-03 20:01:58,083] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-4] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Subscribing@155.223.25.4:2553] with UID [7070426334700086217] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.083UTC}
[2020-08-03 20:01:58,320] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-1, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.319UTC}
[2020-08-03 20:01:58,320] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-17, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-2, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.319UTC}
[2020-08-03 20:01:58,320] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-4, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.320UTC}
[2020-08-03 20:01:58,320] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-20, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-5, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.320UTC}
[2020-08-03 20:01:58,320] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-18, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-3, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.320UTC}
[2020-08-03 20:01:58,321] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-6, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.320UTC}
[2020-08-03 20:01:58,321] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-7, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.320UTC}
[2020-08-03 20:01:58,321] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-8, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.321UTC}
[2020-08-03 20:01:58,322] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-9, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.321UTC}
[2020-08-03 20:01:58,322] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-10, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.322UTC}
[2020-08-03 20:01:58,322] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-11, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.322UTC}
[2020-08-03 20:01:58,323] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-12, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.323UTC}
[2020-08-03 20:01:58,323] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-17, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-13, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.323UTC}
[2020-08-03 20:01:58,323] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-14, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.323UTC}
[2020-08-03 20:01:58,325] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-17, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-15, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.324UTC}
[2020-08-03 20:01:58,325] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-16, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.325UTC}
[2020-08-03 20:01:58,325] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-17, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-17, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.325UTC}
[2020-08-03 20:01:58,326] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-18, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.325UTC}
[2020-08-03 20:01:58,326] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-19, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.326UTC}
[2020-08-03 20:01:58,327] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-20, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.327UTC}
[2020-08-03 20:01:58,327] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-21, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.327UTC}
[2020-08-03 20:01:58,327] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-22, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.327UTC}
[2020-08-03 20:01:58,328] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-4, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-23, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.328UTC}
[2020-08-03 20:01:58,328] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-24, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.328UTC}
[2020-08-03 20:01:58,328] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-23, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-25, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.328UTC}
[2020-08-03 20:01:58,328] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-17] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-26, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.328UTC}
[2020-08-03 20:01:58,329] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-17, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-27, sourceActorSystem=Subscribing, akkaTimestamp=20:01:58.329UTC}
