[2020-08-03 20:01:36,319] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Monitoring-akka.actor.default-dispatcher-3] - Slf4jLogger started MDC: {}
[2020-08-03 20:01:36,563] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Monitoring-8e5c920d-f13b-44fc-9be1-6c93cef67a50] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:36.561UTC}
[2020-08-03 20:01:36,708] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Monitoring@155.223.25.1:2551] with UID [-4680801272306287088] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:36.707UTC}
[2020-08-03 20:01:36,733] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Starting up, Akka version [2.5.31] ... MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:36.733UTC}
[2020-08-03 20:01:36,849] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Registered cluster JMX MBean [akka:type=Cluster] MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:36.849UTC}
[2020-08-03 20:01:36,849] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Started up successfully MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:36.849UTC}
[2020-08-03 20:01:37,234] [INFO] [akka.cluster.ddata.LmdbDurableStore] [] [Monitoring-akka.actor.default-dispatcher-3] - Using durable data in LMDB directory [/home/bigdata/ddata-Monitoring-replicator-2551] MDC: {sourceThread=Monitoring-akka.cluster.distributed-data.durable.pinned-store-21, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/replicator/durableStore, sourceActorSystem=Monitoring, akkaTimestamp=20:01:37.234UTC}
[2020-08-03 20:01:37,751] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Metrics collection has started successfully MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-19, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:37.751UTC}
[2020-08-03 20:01:40,616] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-18] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoin message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon/joinSeedNodeProcess-1#-1513864959]], but this node is not initialized yet MDC: {sourceThread=Monitoring-cluster-dispatcher-16, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.616UTC}
[2020-08-03 20:01:40,623] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-18] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoinNack message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon#2063715710]] to [akka://Monitoring@155.223.25.1:2551] MDC: {sourceThread=Monitoring-cluster-dispatcher-16, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.623UTC}
[2020-08-03 20:01:40,633] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-18] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Node [akka://Monitoring@155.223.25.1:2551] is JOINING itself (with roles [dc-default]) and forming new cluster MDC: {sourceThread=Monitoring-cluster-dispatcher-15, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.633UTC}
[2020-08-03 20:01:40,636] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-18] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - is the new leader among reachable nodes (more leaders may exist) MDC: {sourceThread=Monitoring-cluster-dispatcher-15, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.636UTC}
[2020-08-03 20:01:40,643] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-18] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Leader is moving node [akka://Monitoring@155.223.25.1:2551] to [Up] MDC: {sourceThread=Monitoring-cluster-dispatcher-15, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.643UTC}
[2020-08-03 20:01:40,655] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-4] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/SubQueryFederator#1035653659] to Actor[akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator] was not delivered. [1] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-27, akkaSource=akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.654UTC}
[2020-08-03 20:01:40,656] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-29] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/QueryFederator#-1525988302] to Actor[akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton/coordinator] was not delivered. [2] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.655UTC}
[2020-08-03 20:01:40,656] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-29] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/SubQueryExecutor#-1516986353] to Actor[akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator] was not delivered. [3] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.656UTC}
[2020-08-03 20:01:40,671] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/SubQueryExecutorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.671UTC}
[2020-08-03 20:01:40,671] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.671UTC}
[2020-08-03 20:01:40,672] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - Singleton manager starting singleton actor [akka://Monitoring/system/sharding/QueryFederatorCoordinator/singleton] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-26, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/QueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.671UTC}
[2020-08-03 20:01:40,672] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-4, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryExecutorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.672UTC}
[2020-08-03 20:01:40,673] [INFO] [akka.cluster.singleton.ClusterSingletonManager] [] [Monitoring-akka.actor.default-dispatcher-20] - ClusterSingletonManager state change [Start -> Oldest] MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-28, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/SubQueryFederatorCoordinator, sourceActorSystem=Monitoring, akkaTimestamp=20:01:40.672UTC}
