[2020-08-05 10:54:14,377] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Monitoring-akka.actor.default-dispatcher-3] - Slf4jLogger started MDC: {}
[2020-08-05 10:54:14,616] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Monitoring-8fc6afbe-f3b3-4b8d-948f-8ce0f103b67a] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:14.614UTC}
[2020-08-05 10:54:14,758] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Monitoring@155.223.25.1:2551] with UID [910061170140791769] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:14.758UTC}
[2020-08-05 10:54:14,782] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Starting up, Akka version [2.5.31] ... MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:14.782UTC}
[2020-08-05 10:54:14,888] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Registered cluster JMX MBean [akka:type=Cluster] MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:14.887UTC}
[2020-08-05 10:54:14,888] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Started up successfully MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:14.888UTC}
[2020-08-05 10:54:15,261] [INFO] [akka.cluster.ddata.LmdbDurableStore] [] [Monitoring-akka.actor.default-dispatcher-3] - Using durable data in LMDB directory [/home/bigdata/ddata-Monitoring-replicator-2551] MDC: {sourceThread=Monitoring-akka.cluster.distributed-data.durable.pinned-store-21, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/replicator/durableStore, sourceActorSystem=Monitoring, akkaTimestamp=10:54:15.261UTC}
[2020-08-05 10:54:15,778] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-23] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Metrics collection has started successfully MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-19, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:15.778UTC}
[2020-08-05 10:54:17,569] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-19] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoin message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon/joinSeedNodeProcess-1#-491971258]], but this node is not initialized yet MDC: {sourceThread=Monitoring-cluster-dispatcher-27, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.569UTC}
[2020-08-05 10:54:17,944] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-24] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoinNack message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon#-616110758]] to [akka://Monitoring@155.223.25.1:2551] MDC: {sourceThread=Monitoring-cluster-dispatcher-27, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.944UTC}
[2020-08-05 10:54:17,959] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-24] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Node [akka://Monitoring@155.223.25.1:2551] is JOINING itself (with roles [dc-default]) and forming new cluster MDC: {sourceThread=Monitoring-cluster-dispatcher-28, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.959UTC}
[2020-08-05 10:54:17,962] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-24] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - is the new leader among reachable nodes (more leaders may exist) MDC: {sourceThread=Monitoring-cluster-dispatcher-28, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.962UTC}
[2020-08-05 10:54:17,969] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-24] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Leader is moving node [akka://Monitoring@155.223.25.1:2551] to [Up] MDC: {sourceThread=Monitoring-cluster-dispatcher-28, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.969UTC}
