[2020-08-05 10:54:16,631] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Monitoring-akka.actor.default-dispatcher-3] - Slf4jLogger started MDC: {}
[2020-08-05 10:54:16,880] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Monitoring-cf14f02a-6ae5-4af0-9809-cb759a5b8ff1] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:16.878UTC}
[2020-08-05 10:54:17,351] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Monitoring@155.223.25.2:2551] with UID [818426927408998167] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.350UTC}
[2020-08-05 10:54:17,374] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.2:2551] - Starting up, Akka version [2.5.31] ... MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.374UTC}
[2020-08-05 10:54:17,488] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.2:2551] - Registered cluster JMX MBean [akka:type=Cluster] MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.488UTC}
[2020-08-05 10:54:17,489] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.2:2551] - Started up successfully MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.488UTC}
[2020-08-05 10:54:17,649] [INFO] [akka.cluster.ddata.LmdbDurableStore] [] [Monitoring-akka.actor.default-dispatcher-21] - Using durable data in LMDB directory [/home/bigdata/ddata-Monitoring-replicator-2551] MDC: {sourceThread=Monitoring-akka.cluster.distributed-data.durable.pinned-store-23, akkaSource=akka://Monitoring@155.223.25.2:2551/system/sharding/replicator/durableStore, sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.649UTC}
[2020-08-05 10:54:17,938] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-21] - Cluster Node [akka://Monitoring@155.223.25.2:2551] - Received InitJoin message from [Actor[akka://Monitoring@155.223.25.1:2551/system/cluster/core/daemon/firstSeedNodeProcess-1#2014296290]], but this node is not initialized yet MDC: {sourceThread=Monitoring-cluster-dispatcher-18, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:17.938UTC}
[2020-08-05 10:54:18,165] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-2] - Cluster Node [akka://Monitoring@155.223.25.2:2551] - Metrics collection has started successfully MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-3, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:18.165UTC}
[2020-08-05 10:54:21,191] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-2] - Used heap: 60.74745178222656 MB (max: 13653.5) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-17, akkaSource=akka://Monitoring@155.223.25.2:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=10:54:21.191UTC}
[2020-08-05 10:54:21,196] [INFO] [monitoring.actor.MetricsListener] [] [Monitoring-akka.actor.default-dispatcher-2] - Load: 0.0 (16 processors) MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-17, akkaSource=akka://Monitoring@155.223.25.2:2551/user/$a, sourceActorSystem=Monitoring, akkaTimestamp=10:54:21.196UTC}
[2020-08-05 10:54:22,719] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.2:2551] - Received InitJoinAck message from [Actor[akka://Monitoring@155.223.25.1:2551/system/cluster/core/daemon#1726489333]] to [akka://Monitoring@155.223.25.2:2551] MDC: {sourceThread=Monitoring-cluster-dispatcher-26, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=10:54:22.719UTC}
