[2020-08-05 13:10:50,847] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Subscribing-akka.actor.default-dispatcher-3] - Slf4jLogger started MDC: {}
[2020-08-05 13:10:51,087] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-3] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Subscribing-31ae3472-e527-48d8-b417-525a5b4967a3] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.085UTC}
[2020-08-05 13:10:51,225] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-3] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Subscribing@155.223.25.4:2553] with UID [-3970960260352102459] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.225UTC}
[2020-08-05 13:10:51,456] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-18, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-2, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.456UTC}
[2020-08-05 13:10:51,456] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-3, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.456UTC}
[2020-08-05 13:10:51,456] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-20, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-4, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.456UTC}
[2020-08-05 13:10:51,456] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-1, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.456UTC}
[2020-08-05 13:10:51,457] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-21, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-5, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.456UTC}
[2020-08-05 13:10:51,457] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-22, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-6, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.456UTC}
[2020-08-05 13:10:51,457] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-22, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-7, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.456UTC}
[2020-08-05 13:10:51,457] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-22, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-8, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.457UTC}
[2020-08-05 13:10:51,458] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-22] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-3, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-9, sourceActorSystem=Subscribing, akkaTimestamp=13:10:51.458UTC}
