[2020-08-05 13:10:25,448] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Monitoring-akka.actor.default-dispatcher-3] - Slf4jLogger started MDC: {}
[2020-08-05 13:10:25,690] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Monitoring-08c5e206-eebb-4f07-9346-f6e41997b11c] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:25.688UTC}
[2020-08-05 13:10:25,826] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Monitoring@155.223.25.1:2551] with UID [5027361556911821885] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:25.826UTC}
[2020-08-05 13:10:25,851] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Starting up, Akka version [2.5.31] ... MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:25.850UTC}
[2020-08-05 13:10:25,952] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Registered cluster JMX MBean [akka:type=Cluster] MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:25.951UTC}
[2020-08-05 13:10:25,952] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Started up successfully MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:25.951UTC}
[2020-08-05 13:10:26,292] [INFO] [akka.cluster.ddata.LmdbDurableStore] [] [Monitoring-akka.actor.default-dispatcher-18] - Using durable data in LMDB directory [/home/bigdata/ddata-Monitoring-replicator-2551] MDC: {sourceThread=Monitoring-akka.cluster.distributed-data.durable.pinned-store-22, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/replicator/durableStore, sourceActorSystem=Monitoring, akkaTimestamp=13:10:26.292UTC}
[2020-08-05 13:10:26,806] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-17] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Metrics collection has started successfully MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-2, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:26.806UTC}
[2020-08-05 13:10:29,038] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-17] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoinNack message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon#755937249]] to [akka://Monitoring@155.223.25.1:2551] MDC: {sourceThread=Monitoring-cluster-dispatcher-26, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:29.038UTC}
[2020-08-05 13:10:29,047] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-17] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Node [akka://Monitoring@155.223.25.1:2551] is JOINING itself (with roles [dc-default]) and forming new cluster MDC: {sourceThread=Monitoring-cluster-dispatcher-14, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:29.047UTC}
[2020-08-05 13:10:29,051] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-17] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - is the new leader among reachable nodes (more leaders may exist) MDC: {sourceThread=Monitoring-cluster-dispatcher-14, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:29.051UTC}
[2020-08-05 13:10:29,058] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-17] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Leader is moving node [akka://Monitoring@155.223.25.1:2551] to [Up] MDC: {sourceThread=Monitoring-cluster-dispatcher-14, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=13:10:29.058UTC}
