[2020-08-05 16:04:40,700] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Subscribing-akka.actor.default-dispatcher-4] - Slf4jLogger started MDC: {}
[2020-08-05 16:04:40,938] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-4] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Subscribing-9f6d2e47-aaad-4cbf-83ef-0fb26c67abbd] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=16:04:40.937UTC}
[2020-08-05 16:04:41,076] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-4] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Subscribing@155.223.25.4:2553] with UID [-7141115140097879513] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.075UTC}
[2020-08-05 16:04:41,301] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-17, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-2, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.300UTC}
[2020-08-05 16:04:41,301] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-1, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.300UTC}
[2020-08-05 16:04:41,301] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-18, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-3, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.300UTC}
[2020-08-05 16:04:41,301] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-4, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.301UTC}
[2020-08-05 16:04:41,301] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-20, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-5, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.301UTC}
[2020-08-05 16:04:41,301] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-21, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-6, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.301UTC}
[2020-08-05 16:04:41,301] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-7, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.301UTC}
[2020-08-05 16:04:41,302] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-20, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-8, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.302UTC}
[2020-08-05 16:04:41,302] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-20] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-9, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.302UTC}
[2020-08-05 16:04:41,302] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-20] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-10, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.302UTC}
[2020-08-05 16:04:41,303] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-20] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-11, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.303UTC}
[2020-08-05 16:04:41,303] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-20, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-12, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.303UTC}
[2020-08-05 16:04:41,304] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-21, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-13, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.304UTC}
[2020-08-05 16:04:41,304] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-4, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-14, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.304UTC}
[2020-08-05 16:04:41,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-15, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.304UTC}
[2020-08-05 16:04:41,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-4] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-16, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.305UTC}
[2020-08-05 16:04:41,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-21] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-17, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.305UTC}
[2020-08-05 16:04:41,306] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-21, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-18, sourceActorSystem=Subscribing, akkaTimestamp=16:04:41.306UTC}
