[2020-08-06 11:10:27,689] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Subscribing-akka.actor.default-dispatcher-4] - Slf4jLogger started MDC: {}
[2020-08-06 11:10:27,928] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-4] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Subscribing-e2717a1f-5359-4619-8c64-e92bc6e57d73] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=11:10:27.926UTC}
[2020-08-06 11:10:28,070] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing)] [] [Subscribing-akka.actor.default-dispatcher-4] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Subscribing@155.223.25.4:2553] with UID [-2245072860079356872] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Subscribing), sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.069UTC}
[2020-08-06 11:10:28,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-16, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-2, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.304UTC}
[2020-08-06 11:10:28,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-2, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-1, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.304UTC}
[2020-08-06 11:10:28,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-17, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-3, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.304UTC}
[2020-08-06 11:10:28,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-18, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-4, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.305UTC}
[2020-08-06 11:10:28,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-5, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.305UTC}
[2020-08-06 11:10:28,305] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-6, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.305UTC}
[2020-08-06 11:10:28,306] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-22, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-7, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.305UTC}
[2020-08-06 11:10:28,306] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-2] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-19, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-8, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.306UTC}
[2020-08-06 11:10:28,306] [INFO] [monitoring.actor.Agent] [] [Subscribing-akka.actor.default-dispatcher-19] - Federated query has been sent to the MonARCh MDC: {sourceThread=Subscribing-akka.actor.default-dispatcher-4, akkaSource=akka://Subscribing@155.223.25.4:2553/user/Agent-9, sourceActorSystem=Subscribing, akkaTimestamp=11:10:28.306UTC}
