[2020-08-03 16:39:30,615] [INFO] [akka.event.slf4j.Slf4jLogger] [] [Monitoring-akka.actor.default-dispatcher-3] - Slf4jLogger started MDC: {}
[2020-08-03 16:39:30,851] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Started embedded media driver in directory [/dev/shm/aeron-bigdata-Monitoring-b7551726-0fda-473c-8e4f-c2e28a599003] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:30.849UTC}
[2020-08-03 16:39:30,996] [INFO] [akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Remoting started with transport [Artery aeron-udp]; listening on address [akka://Monitoring@155.223.25.1:2551] with UID [8730120196253283645] MDC: {sourceThread=main, akkaSource=akka.remote.artery.aeron.ArteryAeronUdpTransport(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:30.996UTC}
[2020-08-03 16:39:31,022] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Starting up, Akka version [2.5.31] ... MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:31.021UTC}
[2020-08-03 16:39:31,130] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Registered cluster JMX MBean [akka:type=Cluster] MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:31.129UTC}
[2020-08-03 16:39:31,130] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Started up successfully MDC: {sourceThread=main, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:31.129UTC}
[2020-08-03 16:39:31,481] [INFO] [akka.cluster.ddata.LmdbDurableStore] [] [Monitoring-akka.actor.default-dispatcher-22] - Using durable data in LMDB directory [/home/bigdata/ddata-Monitoring-replicator-2551] MDC: {sourceThread=Monitoring-akka.cluster.distributed-data.durable.pinned-store-21, akkaSource=akka://Monitoring@155.223.25.1:2551/system/sharding/replicator/durableStore, sourceActorSystem=Monitoring, akkaTimestamp=16:39:31.481UTC}
[2020-08-03 16:39:32,011] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-22] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Metrics collection has started successfully MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-3, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:32.010UTC}
[2020-08-03 16:39:33,905] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoin message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon/joinSeedNodeProcess-1#-1887340251]], but this node is not initialized yet MDC: {sourceThread=Monitoring-cluster-dispatcher-25, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:33.905UTC}
[2020-08-03 16:39:33,910] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Received InitJoinNack message from [Actor[akka://Monitoring@155.223.25.2:2551/system/cluster/core/daemon#1134283137]] to [akka://Monitoring@155.223.25.1:2551] MDC: {sourceThread=Monitoring-cluster-dispatcher-25, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:33.910UTC}
[2020-08-03 16:39:33,921] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Node [akka://Monitoring@155.223.25.1:2551] is JOINING itself (with roles [dc-default]) and forming new cluster MDC: {sourceThread=Monitoring-cluster-dispatcher-17, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:33.921UTC}
[2020-08-03 16:39:33,924] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - is the new leader among reachable nodes (more leaders may exist) MDC: {sourceThread=Monitoring-cluster-dispatcher-17, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:33.924UTC}
[2020-08-03 16:39:33,931] [INFO] [akka.cluster.Cluster(akka://Monitoring)] [] [Monitoring-akka.actor.default-dispatcher-3] - Cluster Node [akka://Monitoring@155.223.25.1:2551] - Leader is moving node [akka://Monitoring@155.223.25.1:2551] to [Up] MDC: {sourceThread=Monitoring-cluster-dispatcher-17, akkaSource=akka.cluster.Cluster(akka://Monitoring), sourceActorSystem=Monitoring, akkaTimestamp=16:39:33.931UTC}
[2020-08-03 16:39:33,943] [INFO] [akka.actor.EmptyLocalActorRef] [] [Monitoring-akka.actor.default-dispatcher-27] - Message [akka.cluster.sharding.ShardCoordinator$Internal$Register] from Actor[akka://Monitoring/system/sharding/SubQueryFederator#654446343] to Actor[akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator] was not delivered. [1] dead letters encountered. If this is not an expected behavior, then [Actor[akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator]] may have terminated unexpectedly, This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'. MDC: {sourceThread=Monitoring-akka.actor.default-dispatcher-3, akkaSource=akka://Monitoring/system/sharding/SubQueryFederatorCoordinator/singleton/coordinator, sourceActorSystem=Monitoring, akkaTimestamp=16:39:33.943UTC}
